เส้นทางต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Khu Khot, 0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Yaek Kor Por Aor,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Royal Thai Air Force Museum,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Bhumibol Adulyadej Hospital,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Saphan Mai,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Sai Yud,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phahon Yothin 59,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Wat Phra Sri Mahathat,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,11th Infantry Regiment,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Sanam Pao,32
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Victory Monument,35
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phaya Thai,40
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Ratchathewi,43
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Siam,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Chit Lom,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phloen Chit,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Nana,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Asok,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phrom Phong,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Thong Lo,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Ekkamai,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phra Khanong,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,On Nut,47
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Bang Chak,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Punnawithi,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Udom Suk,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Bang Na,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Bearing,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Samrong,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Pu Chao,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Chang Erawan,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Royal Thai Naval Academy,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Pak Nam,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Srinagarindra,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Phraek Sa,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Sai Luat,62
สายสุขุมวิท,Khu Khot,สายสุขุมวิท,Kheha,62
สายสุขุมวิท,Khu Khot,สายสีลม,National Stadium,47
สายสุขุมวิท,Khu Khot,สายสีลม,Ratchadamri,47
สายสุขุมวิท,Khu Khot,สายสีลม,Sala Daeng,47
สายสุขุมวิท,Khu Khot,สายสีลม,Chong Nonsi,47
สายสุขุมวิท,Khu Khot,สายสีลม,Saint Louis,47
สายสุขุมวิท,Khu Khot,สายสีลม,Surasak,47
สายสุขุมวิท,Khu Khot,สายสีลม,Saphan Taksin,47
สายสุขุมวิท,Khu Khot,สายสีลม,Krung Thon Buri,47
สายสุขุมวิท,Khu Khot,สายสีลม,Wongwian Yai,47
สายสุขุมวิท,Khu Khot,สายสีลม,Pho Nimit,62
สายสุขุมวิท,Khu Khot,สายสีลม,Talat Phlu,62
สายสุขุมวิท,Khu Khot,สายสีลม,Wutthakat,62
สายสุขุมวิท,Khu Khot,สายสีลม,Bang Wa,62 
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Khu Khot, 0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Yaek Kor Por Aor,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Royal Thai Air Force Museum,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Bhumibol Adulyadej Hospital,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Saphan Mai,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Sai Yud,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phahon Yothin 59,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Wat Phra Sri Mahathat,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,11th Infantry Regiment,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Sanam Pao,32
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Victory Monument,35
สายสุขุมวิท,Yaek Kor Por Aor,สายสุขุมวิท,Phaya Thai,40
